Uniq.ID,Mother.ID,Child.Gndr,Child.mother.ID,marriage.info.,source
V1OC08103,V1OC08101,1,V1OC08103_V1OC08101,2,MR
V1OC08201,V1OC08202,1,V1OC08201_V1OC08202,1,MR
V1OC08502,V1OC02401,0,V1OC08502_V1OC02401,2,MR
V1YX00101,V1OC08202,0,V1YX00101_V1OC08202,0,MR
V1YX00801,V1YX00804,1,V1YX00801_V1YX00804,1,MR
V1YX01701,V1YX01706,1,V1YX01701_V1YX01706,2,MR
V1YX01903,V1YX01902,1,V1YX01903_V1YX01902,2,MR
V2AA00101,V2AA00103,1,V2AA00101_V2AA00103,0,MR
V2NH00101,V2NH00802,1,V2NH00101_V2NH00802,1,MR
V2NH00403,V2NH00402,1,V2NH00403_V2NH00402,2,MR
V2NH00503,V2NH00501,1,V2NH00503_V2NH00501,1,MR
V2NH00803,V2NH00802,1,V2NH00803_V2NH00802,1,MR
V2NH01304,V2NH01302,1,V2NH01304_V2NH01302,2,MR
V2NH01402,V2NH04402,0,V2NH01402_V2NH04402,2,MR
V2NH01501,V2NH01502,1,V2NH01501_V2NH01502,0,MR
V2NH02001,V2NH02003,1,V2NH02001_V2NH02003,2,MR
V2NH02402,V2NH04402,0,V2NH02402_V2NH04402,2,MR
V2NH02602,V2NH02607,0,V2NH02602_V2NH02607,0,MR
V2NH02902,V2NH00602,0,V2NH02902_V2NH00602,2,MR
V2NH03001,V2AA00103,1,V2NH03001_V2AA00103,0,MR
V2NH03103,V2NH03102,1,V2NH03103_V2NH03102,0,MR
V2NH03303,V2NH03302,1,V2NH03303_V2NH03302,2,MR
V2NH03604,V2NH03601,1,V2NH03604_V2NH03601,2,MR
V2NH03701,V2AA00103,1,V2NH03701_V2AA00103,0,MR
